TIC,our_period,our_classification,score,discovery_category,confidence_95_lower,confidence_95_upper,fetherolf_period,fetherolf_period_error,fetherolf_type,match_type,fractional_diff,within_ci,harmonic_ratio
6352247,0.0376760462091461,ULTRA_SHORT,53,cross_listed,0.0376752634315607,0.0376761676740527,0.037676,2.2e-05,Unknown,direct,1.2264860766786251e-06,True,
103452621,0.0562557673696293,ULTRA_SHORT,53,cross_listed,0.0562595930984746,0.0562636444373919,0.056261,4.7e-05,Unknown,direct,9.301500300084541e-05,True,
270240979,0.140303115352231,SHORT,32,cross_listed,0.140203260595176,0.140224027419008,0.140214,0.000313,Unknown,direct,0.0006351630326045932,True,
307981451,0.0334989947408173,ULTRA_SHORT,53,cross_listed,0.0335019247688543,0.0335029967618393,0.033503,1.7e-05,Unknown,direct,0.00011956356343485272,False,
286917658,0.160894753781783,SHORT,38,cross_listed,0.160803383474452,0.16081305911386,0.160809,0.000362,Unknown,direct,0.0005329805961187451,True,
139722169,0.472763381880083,SHORT,41,cross_listed,0.471955283888569,0.472104499692766,0.472001,0.00313,Unknown,direct,0.0016126077215438065,True,
424717049,0.120638061682514,SHORT,42,cross_listed,0.120603809515568,0.120621174380354,0.12062,0.000212,Unknown,direct,0.0001497179435916576,True,
70797886,0.306950755249908,SHORT,35,cross_listed,0.307138727910843,0.30717315306068,0.307157,0.00128,Unknown,direct,0.0006719147829562879,True,
284473460,0.0296771665697019,ULTRA_SHORT,53,cross_listed,0.0296772852812172,0.0296784724486072,0.019486,5e-06,Unknown,disagreement,0.343400928985798,False,
237924601,0.5,SHORT,35,cross_listed,0.50120793608657,0.501583833302672,1.00361,0.0167,Unknown,harmonic_2x,0.003609999999999891,False,2.0
72944678,0.430110473125151,SHORT,44,cross_listed,0.429501439806688,0.429591070267169,0.429552,0.00282,Unknown,direct,0.0012984411216336582,True,
50379749,0.0539813834956698,ULTRA_SHORT,53,published,0.0539729635449578,0.0539742587510198,0.053974,4.1e-05,Unknown,direct,0.0001367785557105784,True,
27985321,0.0456121462070476,ULTRA_SHORT,53,cross_listed,0.045617072949461,0.0456188979389772,0.045618,3e-05,Unknown,direct,0.0001283384676929282,True,
413025550,0.108841588356019,SHORT,34,published,0.108878034916125,0.108893298149613,0.108886,0.000171,Unknown,direct,0.0004080392858264056,True,
39011225,0.184233802609272,SHORT,35,published,0.18436426138158,0.18441903680631,0.184391,0.000461,Unknown,direct,0.0008532494498927093,True,
388684352,0.213286116562847,SHORT,33,published,0.2130815116067,0.213147141846868,0.213114,0.000645,Unknown,direct,0.0008069749950005547,True,
103304597,0.0515243965286224,ULTRA_SHORT,52,cross_listed,0.051524602631155,0.0515272924211967,0.051526,4e-05,Unknown,direct,3.112062412431609e-05,True,
159502465,0.0504988948483623,ULTRA_SHORT,58,published,0.0504978285612569,0.0505002525152027,0.050502,3.7e-05,Unknown,direct,6.148949688944334e-05,False,
167692491,0.21042874004305,SHORT,46,published,0.210429129551305,0.210434183853422,0.210428,0.000662,Unknown,direct,3.516834486846606e-06,False,
167814740,0.401655150249076,SHORT,43,cross_listed,0.402175817791072,0.402376464784041,0.386169,0.00276,Unknown,direct,0.03855583636727347,False,
22529346,0.424975382944573,SHORT,32,published,0.424880403472202,0.425112003078365,1.34966,0.0276,Unknown,disagreement,2.1758545416171273,False,
121108244,0.197510865270644,SHORT,57,published,0.197551166514638,0.19755907064799,0.197556,0.000557,Unknown,direct,0.00022851770354089286,True,
25563502,0.0350271164113847,ULTRA_SHORT,58,published,0.0350311801095514,0.0350317406936419,0.035032,1.9e-05,Unknown,direct,0.00013942308461658686,False,
141542755,0.0440156032555161,ULTRA_SHORT,60,published,0.0440156007155729,0.0440159528770035,0.044016,2.7e-05,Unknown,direct,9.013723646924003e-06,False,
53992511,0.310612650677271,SHORT,35,published,0.310460956464632,0.310538182136779,0.310461,0.00148,Unknown,direct,0.0004882308461691938,True,
294159330,0.31886315677255,SHORT,44,cross_listed,0.31865375479915,0.318799017622194,0.318828,0.00183,Unknown,direct,0.0001102566157402828,False,
232633870,0.32927150573047,SHORT,34,cross_listed,0.329181900630269,0.329330786457647,0.329273,0.00162,Unknown,direct,4.538107622417104e-06,True,
88459699,0.145193145512634,SHORT,33,published,0.145099699437275,0.145123513860366,0.145112,0.000304,Unknown,direct,0.0005588797759528849,True,
308994213,0.0296096665284606,ULTRA_SHORT,53,cross_listed,0.0296119170791696,0.0296125153098817,0.029612,1.3e-05,Unknown,direct,7.880776155162322e-05,True,
149598862,0.277506383923615,SHORT,40,published,0.277256847769899,0.2772745777405,0.277265,0.00138,Unknown,direct,0.0008698319663934068,True,
270623499,0.366334456983731,SHORT,41,cross_listed,0.366640974969165,0.366705717300568,0.366592,0.00199,Unknown,direct,0.0007030270054023198,False,
196263208,0.0740570649758526,ULTRA_SHORT,53,cross_listed,0.0740656567638729,0.0740674346240929,0.074067,8.4e-05,Unknown,direct,0.00013415363072563652,True,
277298434,0.410718300777593,SHORT,44,published,0.410684982291738,0.41082129900643,0.410647,0.00255,Unknown,direct,0.00017360019618812108,False,
236771221,0.0302284518727249,ULTRA_SHORT,54,cross_listed,0.0302263964366584,0.0302273636658687,0.030227,1.3e-05,Unknown,direct,4.803000600268423e-05,True,
363075229,0.0335466275121921,ULTRA_SHORT,54,cross_listed,0.0335472401132711,0.0335477768605249,0.033547,1.7e-05,Unknown,direct,1.110358433998438e-05,False,
140867383,0.048568874725531,ULTRA_SHORT,53,cross_listed,0.0485772301762303,0.0485803399150547,0.048577,3.4e-05,Unknown,direct,0.0001672938587710293,False,
332079835,0.435225491903186,SHORT,35,cross_listed,0.434846211458877,0.434924518117174,0.434889,0.00305,Unknown,direct,0.0007731438287645521,True,
354785188,0.26280096730102,SHORT,41,cross_listed,0.262556155062541,0.262668632201605,0.262617,0.00109,Unknown,direct,0.0007000252050414725,True,
364398342,0.392571069577509,SHORT,45,published,0.392859984644991,0.393184528354108,0.39294,0.0024,Unknown,direct,0.0009397799559913579,True,
157036559,0.0309470452041056,ULTRA_SHORT,53,cross_listed,0.030950883190381,0.030952121453549,0.030951,1.7e-05,Unknown,direct,0.000127792358472879,True,
464415840,0.421145745577085,SHORT,38,cross_listed,0.421292189698012,0.421520822852224,0.89992,0.0105,Unknown,disagreement,1.1368374474894984,False,
309150857,0.349140941472273,SHORT,47,cross_listed,0.348652052458911,0.34879966940622,0.348719,0.00175,Unknown,direct,0.0012085133026614359,True,
219117956,0.153315340734834,SHORT,52,cross_listed,0.153374851367377,0.153392682874832,0.153383,0.000378,Unknown,direct,0.00044130786157282073,True,
410211461,0.0324817091395823,ULTRA_SHORT,58,cross_listed,0.03247716224593,0.0324778182196595,0.032477,1.5e-05,Unknown,direct,0.00014497819563823546,False,
308582697,0.495244699821676,SHORT,43,cross_listed,0.494472417991872,0.494989874222175,0.494742,0.00352,Unknown,direct,0.0010150534106816464,True,
141525324,0.362509064539521,SHORT,38,cross_listed,0.362393023978214,0.362629459928125,0.725174,0.00831,Unknown,harmonic_2x,0.0002149889978006899,False,2.0
395579805,0.472763381880083,SHORT,33,cross_listed,0.472021160992208,0.472291175726,0.472175,0.00365,Unknown,direct,0.0012445589117818382,True,
287151185,0.0313570272609803,ULTRA_SHORT,53,published,0.0313566509736429,0.0313576544266121,0.03136,1.6e-05,Unknown,direct,9.480296059173017e-05,False,
