measurement_id,phase,config,seq,best_channel,best_channel_snr_db,freq_1_hz,freq_1_std_hz,freq_1_cv_pct,freq_1_confidence,freq_1_tier,freq_2_hz,freq_3_hz,freq_4_hz,freq_5_hz,detection_rate,fap,n_modes_detected
01C14,1,C,14,01B1305.aaa,35.53297988854824,3.97003700370037,0.0029338022961868,0.2261969362292408,100.0,CONFIRMED,,,,,1.0,1.299240438936319e-206,1
01C15,1,C,15,Carlog,36.77687577405956,0.8060606060606061,0.0712626664083729,9.970481863825272,80.0,PROBABLE,,,,,0.5,1.5483186163906512e-105,1
01C16,1,C,16,01B1505.aaa,34.360584567012076,3.962551255125512,4.440892098500626e-16,0.3016541961756766,96.7,CONFIRMED,,,,,0.8333333333333334,2.61862284560182e-174,1
01C17,1,C,17,01B1605.aaa,37.71101552646329,3.985008500850085,0.0,0.912947801976873,100.0,CONFIRMED,,,,,1.0,0.0,1
01C18,1,C,18,01B1705.aaa,36.72793216164363,3.9675417541754174,0.0047932178134998,0.3419600543550767,96.7,CONFIRMED,,,,,0.8333333333333334,3.4320456338729614e-272,1
01C19,1,C,19,Carlog,37.73141419266646,0.603945394539454,1.1102230246251563e-16,25.049120281210513,70.0,PROBABLE,,,,,0.5,2.7551577813799973e-158,1
01C20,1,C,20,Carlog,37.368714766164715,0.6588408840884089,0.014046703518988,14.991027577095752,75.0,PROBABLE,,,,,0.5,3.562032787103637e-108,1
01C21,1,C,21,Carlog,35.60827431538235,0.7411841184118413,0.0521420944060921,21.17889105278848,66.7,CANDIDATE,,,,,0.3333333333333333,4.200141207957204e-98,1
01C22,1,C,22,Carlog,37.18121994101944,0.7187268726872688,0.0364218488118898,10.294150659622844,81.7,PROBABLE,,,,,0.8333333333333334,3.901654678142312e-104,1
01C23,1,C,23,Carlog,38.09278464083342,0.6688218821882189,3.3306690738754696e-16,3.4481569106273953,91.7,CONFIRMED,,,,,0.8333333333333334,2.5635631179887392e-160,1
01D00,1,D,0,Carlog,31.5044424344159,0.7012601260126013,0.004067792480162,65.4737639520804,58.3,CANDIDATE,,,,,0.1666666666666666,4.971009064625508e-39,1
01D01,1,D,1,Carlog,35.147486909481444,0.7586508650865087,0.0322060842192873,21.22445607565208,63.3,CANDIDATE,,,,,0.1666666666666666,1.253809683159759e-84,1
01D02,1,D,2,01C0105.aaa,31.899715364855407,3.975027502750275,0.0012769730471807,0.1833904732710634,100.0,CONFIRMED,,,,,1.0,6.490965321695749e-104,1
01D03,1,D,3,01C0205.aaa,40.63172273969372,3.9999799979998,4.440892098500626e-16,0.1284826358095851,100.0,CONFIRMED,,,,,1.0,0.0,1
01D04,1,D,4,01C0305.aaa,29.932921031270325,3.985008500850085,0.0,0.1606057462513423,96.7,CONFIRMED,,,,,0.8333333333333334,1.2377275006915224e-93,1
01D05,1,D,5,Carlog,36.020201605544194,0.7262126212621263,1.1102230246251563e-16,25.46321781211896,66.7,CANDIDATE,,,,,0.3333333333333333,1.4680590669092857e-102,1
01D06,1,D,6,01C0505.aaa,34.52536528064686,4.007465746574658,0.0034227693455513,0.1155851731716709,100.0,CONFIRMED,,,,,1.0,0.0,1
01D07,1,D,7,Carlog,36.28214159585968,0.6912791279127913,0.0507618577410254,4.77439256357497,91.7,CONFIRMED,,,,,0.8333333333333334,2.1422602053287565e-86,1
01D08,1,D,8,Carlog,35.667893229345566,0.6887838783878388,0.0289846620987081,23.320786806109883,70.0,PROBABLE,,,,,0.5,5.99302187882629e-97,1
01D09,1,D,9,Carlog,37.40654430631777,0.6937743774377438,1.1102230246251563e-16,23.511750685946712,70.0,PROBABLE,,,,,0.5,4.126747221488254e-132,1
01D10,1,D,10,01C0905.aaa,40.536246492370424,3.98999899989999,0.006926553803281,47.94519790480917,68.3,CANDIDATE,,,,,0.6666666666666666,1.295220002209e-311,1
01D11,1,D,11,01C1005.aaa,36.31344725534932,3.982513251325132,4.440892098500626e-16,0.2990953861147739,100.0,CONFIRMED,,,,,1.0,3.883752757948966e-227,1
01D12,1,D,12,Carlog,35.62472535426078,0.6214121412141215,0.0138160909418126,14.842682532287768,75.0,PROBABLE,,,,,0.5,2.4650172099299917e-93,1
01D13,1,D,13,Carlog,34.840170897790756,0.7112411241124112,0.0294970157752812,18.596463537076744,71.7,PROBABLE,,,,,0.3333333333333333,6.558969579039796e-75,1
01D14,1,D,14,01C1305.aaa,38.135285074380064,3.98001800180018,1.3322676295501878e-15,48.061288986360914,68.3,CANDIDATE,,,,,0.6666666666666666,9.631984149744063e-270,1
01D15,1,D,15,01C1405.aaa,39.43388226102542,3.982513251325132,0.0028118926929269,0.1840975126111412,100.0,CONFIRMED,,,,,1.0,0.0,1
01D16,1,D,16,01C1505.aaa,39.36547435820409,3.98001800180018,1.3322676295501878e-15,0.3717287790524821,100.0,CONFIRMED,,,,,1.0,0.0,1
01D17,1,D,17,Carlog,38.084215757194436,0.6638313831383139,0.0739869213298872,3.971100280530472,95.0,CONFIRMED,,,,,1.0,2.548008913591129e-119,1
01D18,1,D,18,Carlog,31.41928027444954,0.7112411241124112,0.0035529935003916,45.145055171601406,58.3,CANDIDATE,,,,,0.1666666666666666,2.3758995818181536e-38,1
01D19,1,D,19,Carlog,37.30097284071602,0.855965596559656,0.0844309407650765,17.736586967238548,71.7,PROBABLE,,,,,0.3333333333333333,1.0000789367966167e-81,1
01D20,1,D,20,01C1905.aaa,37.96175911008176,3.982513251325132,4.440892098500626e-16,0.2920985470958442,100.0,CONFIRMED,,,,,1.0,0.0,1
01D21,1,D,21,Carlog,35.29504069396753,0.7162316231623163,0.0725712599554977,20.333900142729135,66.7,CANDIDATE,,,,,0.3333333333333333,3.3013596364655507e-81,1
01D22,1,D,22,Carlog,36.35107392597491,0.7012601260126013,1.1102230246251563e-16,17.842741100359756,78.3,PROBABLE,,,,,0.6666666666666666,1.2250375598609985e-140,1
01D23,1,D,23,01C2205.aaa,32.13540323961463,4.0174467446744675,0.0,0.4760949623755794,96.7,CONFIRMED,,,,,0.8333333333333334,8.722196629206055e-147,1
01E00,1,E,0,01C2305.aaa,33.95720506219165,3.98999899989999,1.7763568394002505e-15,0.2930943176500445,100.0,CONFIRMED,,,,,1.0,3.0106006801609446e-250,1
01E01,1,E,1,01D0005.aaa,29.826111256247607,3.98999899989999,3.0452328724272113,47.97113271494391,68.3,CANDIDATE,,,,,0.6666666666666666,2.656520613325304e-105,1
01E02,1,E,2,01D0105.aaa,25.26124542610117,4.004970497049705,0.0063565716417379,0.1817417422911443,96.7,CONFIRMED,,,,,0.8333333333333334,3.993356226292482e-111,1
01E03,1,E,3,01D0205.aaa,36.43446966561826,4.032418241824183,0.0065394582486007,0.7720069723416836,96.7,CONFIRMED,,,,,0.8333333333333334,1.3718400835768333e-201,1
01E04,1,E,4,01D0305.aaa,41.55138119282988,4.00996099609961,8.881784197001252e-16,0.3075774307158946,96.7,CONFIRMED,,,,,0.8333333333333334,1.158663929334777e-189,1
01E05,1,E,5,01D0405.aaa,41.133817189444585,3.9999799979998,0.0151204709398221,0.3154273068859413,100.0,CONFIRMED,,,,,1.0,8.893046430884121e-255,1
01E06,1,E,6,01D0505.aaa,35.624773753217774,3.9999799979998,4.440892098500626e-16,0.328135245056204,100.0,CONFIRMED,,,,,1.0,8.479248395605985e-156,1
01E07,1,E,7,Carlog,35.616738436710634,0.6837933793379338,0.0121731356093761,18.132891962078777,71.7,PROBABLE,,,,,0.3333333333333333,4.3319806213582895e-61,1
01E08,1,E,8,Carlog,36.558769043498216,0.6014501450145014,0.0228407350881902,15.027478406346356,75.0,PROBABLE,,,,,0.5,3.4011981565058523e-116,1
01E09,1,E,9,01D0805.aaa,36.77665084157113,3.994989498949894,0.003651173387777,0.6725820998467626,100.0,CONFIRMED,,,,,1.0,3.933934848691661e-223,1
01E10,1,E,10,01D0905.aaa,32.886273514738214,4.0174467446744675,0.0,0.7752887629557329,96.7,CONFIRMED,,,,,0.8333333333333334,9.330092919977384e-161,1
01E11,1,E,11,Carlog,36.27591856609599,0.6563456345634564,0.076506462334308,6.264366702368521,86.7,CONFIRMED,,,,,0.8333333333333334,3.3828420101926357e-106,1
01E12,1,E,12,Carlog,36.5996073316228,0.6613361336133614,0.0020672957842637,17.735426164523687,71.7,PROBABLE,,,,,0.3333333333333333,1.2802131270489823e-93,1
01E13,1,E,13,Carlog,36.118979221770005,0.6738123812381238,1.1102230246251563e-16,14.946036132875982,78.3,PROBABLE,,,,,0.6666666666666666,2.0698183515025646e-114,1
01E14,1,E,14,01D1305.aaa,38.964848103201774,3.975027502750275,0.0038067891813649,0.3978282265677862,96.7,CONFIRMED,,,,,0.8333333333333334,5.0038089891373816e-284,1
01E15,1,E,15,Carlog,37.11539904510985,0.6463646364636464,1.1102230246251563e-16,17.24507470160496,78.3,PROBABLE,,,,,0.6666666666666666,1.2612034793051906e-130,1
01E16,1,E,16,01D1505.aaa,36.03296188771892,3.972532253225322,0.0089707951072199,0.3482271462599174,96.7,CONFIRMED,,,,,0.8333333333333334,1.900693285069929e-148,1
01E17,1,E,17,Carlog,37.39282989669423,0.593964396439644,1.1102230246251563e-16,18.417316421174373,75.0,PROBABLE,,,,,0.5,3.5471098875312903e-149,1
01E18,1,E,18,01D1705.aaa,31.910633116720778,4.024932493249325,0.0107677751130038,0.5627709082626435,100.0,CONFIRMED,,,,,1.0,5.797102504378625e-129,1
01E19,1,E,19,Carlog,38.47419183593745,0.618916891689169,0.0236468045175466,4.628650576985319,91.7,CONFIRMED,,,,,0.8333333333333334,5.209446967748917e-102,1
01E20,1,E,20,01D1905.aaa,39.35254619711453,4.007465746574658,0.0172555841285997,0.6123412230585258,100.0,CONFIRMED,,,,,1.0,0.0,1
01E21,1,E,21,01D2005.aaa,37.6221064162328,4.072342234223422,0.0116688870699377,0.8139601603702143,100.0,CONFIRMED,,,,,1.0,8.198781254008249e-256,1
01E22,1,E,22,01D2105.aaa,43.66219518875474,4.01994199419942,8.881784197001252e-16,0.2579592415726069,100.0,CONFIRMED,,,,,1.0,0.0,1
01E23,1,E,23,01D2205.aaa,38.96514804815701,4.004970497049705,8.881784197001252e-16,0.5364198679119364,100.0,CONFIRMED,,,,,1.0,0.0,1
01F00,1,F,0,01D2305.aaa,41.55737614744977,4.027427742774277,0.0,0.2769570285049035,100.0,CONFIRMED,,,,,1.0,0.0,1
01F01,1,F,1,01E0005.aaa,38.234104594983314,4.042399239923992,0.0172555841285993,0.8867638129310736,100.0,CONFIRMED,,,,,1.0,1.6551286544125885e-239,1
01F02,1,F,2,01E0105.aaa,40.95911858744646,4.002475247524752,1.7763568394002505e-15,0.2321596761155677,96.7,CONFIRMED,,,,,0.8333333333333334,0.0,1
01F03,1,F,3,01E0205.aaa,38.909204455724925,3.9924942494249422,0.0070697513368207,0.4755974032192933,100.0,CONFIRMED,,,,,1.0,6.45689986511774e-240,1
01F04,1,F,4,01E0305.aaa,42.58587091126788,4.012456245624563,0.0021422847052524,0.1784537666940657,100.0,CONFIRMED,,,,,1.0,0.0,1
01F05,1,F,5,01E0405.aaa,32.87011201097816,4.014951495149515,0.0,0.8375841383140779,96.7,CONFIRMED,,,,,0.8333333333333334,5.2584271802679745e-194,1
01F06,1,F,6,01E0505.aaa,39.305744255547296,4.007465746574658,0.0060498352618342,0.5243864706663349,100.0,CONFIRMED,,,,,1.0,0.0,1
